#! FIELDS cv1 cv2 file.free
-3.20000000 -3.00000000  17.43781760
-3.15704698 -3.00000000  17.09401269
-3.11409396 -3.00000000  16.76170697
-3.07114094 -3.00000000  16.44067866
-3.02818792 -3.00000000  16.13071368
-2.98523490 -3.00000000  15.83160493
-2.94228188 -3.00000000  15.54315167
-2.89932886 -3.00000000  15.26515885
-2.85637584 -3.00000000  14.99743635
-2.81342282 -3.00000000  14.73979839
-2.77046980 -3.00000000  14.49206276
-2.72751678 -3.00000000  14.25405018
-2.68456376 -3.00000000  14.02558361
-2.64161074 -3.00000000  13.80648760
-2.59865772 -3.00000000  13.59658762
-2.55570470 -3.00000000  13.39570949
-2.51275168 -3.00000000  13.20367874
-2.46979866 -3.00000000  13.02032004
-2.42684564 -3.00000000  12.84545669
-2.38389262 -3.00000000  12.67891011
-2.34093960 -3.00000000  12.52049938
-2.29798658 -3.00000000  12.37004078
-2.25503356 -3.00000000  12.22734748
-2.21208054 -3.00000000  12.09222914
-2.16912752 -3.00000000  11.96449166
-2.12617450 -3.00000000  11.84393696
-2.08322148 -3.00000000  11.73036273
-2.04026846 -3.00000000  11.62356238
-1.99731544 -3.00000000  11.52332488
-1.95436242 -3.00000000  11.42943480
-1.91140940 -3.00000000  11.34167227
-1.86845638 -3.00000000  11.25981313
-1.82550336 -3.00000000  11.18362901
-1.78255034 -3.00000000  11.11288751
-1.73959732 -3.00000000  11.04735247
-1.69664430 -3.00000000  10.98678424
-1.65369128 -3.00000000  10.93094000
-1.61073826 -3.00000000  10.87957413
-1.56778523 -3.00000000  10.83243867
-1.52483221 -3.00000000  10.78928373
-1.48187919 -3.00000000  10.74985803
-1.43892617 -3.00000000  10.71390942
-1.39597315 -3.00000000  10.68118543
-1.35302013 -3.00000000  10.65143392
-1.31006711 -3.00000000  10.62440362
-1.26711409 -3.00000000  10.59984484
-1.22416107 -3.00000000  10.57751009
-1.18120805 -3.00000000  10.55715479
-1.13825503 -3.00000000  10.53853792
-1.09530201 -3.00000000  10.52142269
-1.05234899 -3.00000000  10.50557731
-1.00939597 -3.00000000  10.49077559
-0.96644295 -3.00000000  10.47679766
-0.92348993 -3.00000000  10.46343063
