#! FIELDS s file.free file.error
-3.50000000  17.42231730  0.09854957
-3.47491039  16.65970131  0.09819308
-3.44982079  15.91763775  0.09779948
-3.42473118  15.19716769  0.09736959
-3.39964158  14.49927913  0.09690428
-3.37455197  13.82487459  0.09640450
-3.34946237  13.17474080  0.09587127
-3.32437276  12.54952148  0.09530567
-3.29928315  11.94969360  0.09470887
-3.27419355  11.37554797  0.09408206
-3.24910394  10.82717445  0.09342655
-3.22401434  10.30445226  0.09274365
-3.19892473  9.80704559  0.09203476
-3.17383513  9.33440465  0.09130134
-3.14874552  8.88577206  0.09054486
-3.12365591  8.46019454  0.08976689
-3.09856631  8.05653950  0.08896900
-3.07347670  7.67351614  0.08815282
-3.04838710  7.30970061  0.08732001
-3.02329749  6.96356448  0.08647228
-2.99820789  6.63350593  0.08561135
-2.97311828  6.31788279  0.08473897
-2.94802867  6.01504666  0.08385694
-2.92293907  5.72337723  0.08296703
-2.89784946  5.44131596  0.08207108
-2.87275986  5.16739829  0.08117091
-2.84767025  4.90028356  0.08026834
-2.82258065  4.63878186  0.07936523
-2.79749104  4.38187725  0.07846341
-2.77240143  4.12874664  0.07756473
-2.74731183  3.87877392  0.07667101
-2.72222222  3.63155906  0.07578408
-2.69713262  3.38692174  0.07490575
-2.67204301  3.14489973  0.07403781
-2.64695341  2.90574175  0.07318202
-2.62186380  2.66989519  0.07234014
-2.59677419  2.43798892  0.07151388
-2.57168459  2.21081166  0.07070492
-2.54659498  1.98928637  0.06991492
-2.52150538  1.77444137  0.06914548
-2.49641577  1.56737894  0.06839818
-2.47132616  1.36924204  0.06767453
-2.44623656  1.18118016  0.06697602
-2.42114695  1.00431500  0.06630407
-2.39605735  0.83970696  0.06566005
-2.37096774  0.68832314  0.06504526
-2.34587814  0.55100778  0.06446098
-2.32078853  0.42845583  0.06390838
-2.29569892  0.32119024  0.06338859
-2.27060932  0.22954366  0.06290268
-2.24551971  0.15364486  0.06245164
-2.22043011  0.09341042  0.06203638
-2.19534050  0.04854160  0.06165774
-2.17025090  0.01852681  0.06131652
-2.14516129  0.00264927  0.06101339
-2.12007168  0.00000000  0.06074898
-2.09498208  0.00949557  0.06052383
-2.06989247  0.02990025  0.06033839
-2.04480287  0.05985207  0.06019304
